品牌,车系,别名,频次,单匹
小鹏,X9,X9,100,1
蔚来,ES6,ES6,100,1
蔚来,ES8,ES8,100,1
蔚来,EC6,EC6,100,1
蔚来,ET5,ET5,100,1
蔚来,ET7,ET7,100,1
蔚来,EC7,EC7,100,1
极氪,001,001,100,1
极氪,007,007,100,1
极氪,009,009,100,1
极氪,X,X,100,0
问界,M5,M5,100,1
问界,M7,M7,100,1
问界,M9,M9,100,1
高合,HiPhi X,HiPhi X,100,1
高合,HiPhi X,HIPHI X,100,1
高合,HiPhi Z,HiPhi Z,100,1
高合,HiPhi Z,HIPHI Z,100,1
高合,HiPhi Y,HiPhi Y,100,1
零跑,C11,C11,100,1
零跑,C01,C01,100,1
零跑,C10,C10,100,1
零跑,C16,C16,100,1
五菱,宏光MINI,宏光MINI,100,1
五菱,宏光MINI,宏光MINIEV,100,1
五菱,宏光MINI,宏光MINI EV,100,1
五菱,宏光MINI,MINI EV,100,0
吉利,银河L7,银河L7,100,1
吉利,银河L6,银河L6,100,1
吉利,银河E8,银河E8,100,1
长安,深蓝SL03,深蓝SL03,100,1
长安,深蓝S7,深蓝S7,100,1
长安,深蓝S05,深蓝S05,100,1
212,T01,T01,100,0
红旗,H9,H9,100,1
红旗,HS3,HS3,100,1
红旗,HS7,HS7,100,1
红旗,E-HS9,E-HS9,100,1
红旗,E-QM5,E-QM5,100,1
领克,03,03,100,0
领克,05,05,100,0
领克,09,09,100,0
奔驰,GLC,GLC,100,0
保时捷,Cayenne,Cayenne,100,0
保时捷,Cayenne,CAYENNE,100,0
腾势,腾势D9,腾势D9,100,1
腾势,腾势N7,腾势N7,100,1
腾势,腾势N9,腾势N9,100,1
腾势,腾势X,腾势X,100,1
腾势,腾势Z9,腾势Z9,100,1
腾势,腾势Z9GT,腾势Z9GT,100,1
腾势,腾势,腾势,100,1
埃安,Aion S,Aion S,100,1
埃安,Aion S,AION S,100,1
埃安,AION S PLUS,AION S PLUS,100,1
埃安,Aion V,Aion V,100,1
埃安,Aion V,AION V,100,1
埃安,Aion Y,Aion Y,100,1
埃安,Aion Y,AION Y,100,1
方程豹,豹5,豹5,100,1
方程豹,豹8,豹8,100,1
方程豹,钛3,钛3,100,1
方程豹,钛7,钛7,100,1
名爵,名爵HS,名爵HS,100,1
名爵,MG7,MG7,100,1
名爵,锐腾,锐腾,100,1
名爵,锐行,锐行,100,1
小米汽车,小米SU7,小米SU7,100,1
深蓝汽车,深蓝SL03,深蓝SL03,100,1
深蓝汽车,深蓝S7,深蓝S7,100,1
深蓝汽车,深蓝S07,深蓝S07,100,1
阿维塔,阿维塔11,阿维塔11,100,1
阿维塔,阿维塔12,阿维塔12,100,1
鸿蒙智行,问界M5,问界M5,100,1
鸿蒙智行,问界M7,问界M7,100,1
鸿蒙智行,问界M9,问界M9,100,1
鸿蒙智行,智界S7,智界S7,100,1
鸿蒙智行,智界R7,智界R7,100,1
北汽新能源,EC3,EC3,100,1
北汽新能源,EC5,EC5,100,1
北汽新能源,EX系列,EX系列,100,1
北汽新能源,EU系列,EU系列,100,1
飞凡汽车,飞凡MARVEL R,飞凡MARVEL R,100,1
飞凡汽车,飞凡R7,飞凡R7,100,1
飞凡汽车,飞凡F7,飞凡F7,100,1
华颂,华颂7,华颂7,100,1
雷丁,雷丁芒果,雷丁芒果,100,1
几何汽车,几何C,几何C,100,1
几何汽车,吉利几何E萤火虫,吉利几何E萤火虫,100,1
威马汽车,威马EX5,威马EX5,100,1
威马汽车,威马EX6,威马EX6,100,1
玛莎拉蒂,Levante,Levante,100,1
玛莎拉蒂,Ghibli,Ghibli,100,1
玛莎拉蒂,Grecale格雷嘉,Grecale格雷嘉,100,1
讴歌,MDX,MDX,100,1
讴歌,TLX,TLX,100,1
蓝电,蓝电E5,蓝电E5,100,1
凌宝汽车,凌宝BOX,凌宝BOX,100,1
比速汽车,比速T5,比速T5,100,1
九龙,九龙A6,九龙A6,100,1
现代,朗动,朗动,100,1
现代,悦动,悦动,100,1
现代,领动,领动,100,1
马自达,睿翼,睿翼,100,1
马自达,马6阿特兹,马6阿特兹,100,1
马自达,马3昂克赛拉两厢,马3昂克赛拉两厢,100,1
马自达,马3昂克赛拉三厢,马3昂克赛拉三厢,100,1
马自达,马3星骋两厢,马3星骋两厢,100,1
马自达,马3星骋三厢,马3星骋三厢,100,1
马自达,CX-30,CX-30,100,0
马自达,CX-30,CX30,100,0
凯迪拉克,IQ锐歌,IQ锐歌,100,1
纳智捷,锐3,锐3,100,1
纳智捷,优6,优6,100,1
上汽大通,D90,D90,100,0
雪佛兰,星迈罗,星迈罗,100,1
丰田,致炫,致炫,100,1
丰田,致享,致享,100,1
丰田,普锐斯,普锐斯,100,1
丰田,埃尔法,埃尔法,100,1
大众,探影,探影,100,1
大众,蔚揽,蔚揽,100,1
大众,ID.4 CROZZ,ID.4 CROZZ,100,1
比亚迪,e5,e5,100,0
比亚迪,e2,e2,100,0
比亚迪,E6,E6,100,0
比亚迪,夏,夏,100,1
比亚迪,海豹05 DM-i,海豹05 DM-i,100,1
比亚迪,海豹06,海豹06,100,1
比亚迪,驱逐舰05,驱逐舰05,100,1
比亚迪,G5,G5,100,0
吉利银河,银河星舰7 EM-i,银河星舰7 EM-i,100,1
林肯,领航员,领航员,100,1
林肯,飞行家,飞行家,100,1
哈弗,哈弗猛龙新能源,哈弗猛龙新能源,100,1
哈弗,神兽,神兽,100,1
哈弗,哈弗F5,哈弗F5,100,1
东风风行,风行T5 Evo,风行T5 Evo,100,1
东风风行,风行T5,风行T5,100,1
东风奕派,eπ008,eπ008,100,1
本田,HR-V,HR-V,100,0
本田,HR-V,HRV,100,0
DS,DS7,DS7,100,0
DS,DS 4S,DS 4S,100,0
DS,DS4S,DS4S,100,0
雷克萨斯,GX,GX,100,0
起亚,赛图斯,赛图斯,100,1
宝马,宝马i5,宝马i5,100,1
宝马,X5（进口）,X5（进口）,100,1
宝骏,RC-5,RC-5,100,1
长安,UNI-V,UNI-V,100,0
长安,UNI-V,UNIV,100,0
长安,锐程CC,锐程CC,100,1
长安,凌轩,凌轩,100,1
长安,长安UNI-V 智电iDD,长安UNI-V 智电iDD,100,1
坦克,坦克400新能源,坦克400新能源,100,1
众泰,Z500,Z500,100,0
众泰,T300,T300,100,0
哪吒汽车,哪吒U,哪吒U,100,1
五菱汽车,五菱佳辰,五菱佳辰,100,1
五菱汽车,五菱星辰,五菱星辰,100,1
五菱汽车,凯捷,凯捷,100,1
五菱汽车,MINIEV,MINIEV,100,1
五菱汽车,MINIEV,宏光MINIEV,100,1
启辰,T60,T60,100,0
启辰,大V,大V,100,1
奔腾,B90,B90,100,0
斯巴鲁,力狮,力狮,100,1
北京汽车,BEIJING-X3,BEIJING-X3,100,1
猎豹汽车,Mattu,Mattu,100,1
猎豹汽车,Q6,Q6,100,0
福田,萨普,萨普,100,1
金杯,T5,T5,100,0
金杯,阁瑞斯,阁瑞斯,100,1
日产,ZN厢式车,ZN厢式车,100,1
日产,纳瓦拉,纳瓦拉,100,1
中兴,威虎,威虎,100,1
江铃,驭胜S350,驭胜S350,100,1
江铃,特顺,特顺,100,1
克莱斯勒,大捷龙,大捷龙,100,1
Polestar极星,Polestar 4,Polestar 4,100,1
Polestar极星,Polestar 2,Polestar 2,100,1
双龙,爱腾,爱腾,100,1
星途,凌云,凌云,100,1
星途,揽月,揽月,100,1
广汽集团,iA5,iA5,100,0
捷途山海,捷途山海L6,捷途山海L6,100,1
长安欧尚,Z6,Z6,100,0
北汽幻速,S5,S5,100,0
东风纳米,纳米BOX,纳米BOX,100,1
英菲尼迪,ESQ,ESQ,100,0
奥迪,奥迪Q6L e-tron,奥迪Q6L e-tron,100,1
奔驰,GLB,GLB,100,0
