车辆名称,车辆评级,成交价格,成交时间,上牌时间,行驶里程,车辆所在地,使用性质,颜色
奔腾/X80/2015款 2.0 自动 舒适周年纪念型,75BC,0.81万元,2026年02月,2015年03月,185477公里,南通,非营运,白色
日产/轩逸/2020款 1.6 自动 XL悦享版,65BB,5.05万元,2026年02月,2020年04月,77513公里,西安,非营运,白色
日产/轩逸/2022款 1.6L 自动 XL悦享版,80AB,5.92万元,2026年02月,2022年09月,44417公里,西安,非营运,灰色
别克/昂科威Plus/2017款 1.5T 自动 20T豪华型四驱,65BB,4.98万元,2026年02月,2017年07月,57028公里,北京,非营运,白色
日产/轩逸/2023款 超混电驱 超豪华Ultra,65BB,7.50万元,2026年02月,2023年03月,31461公里,泉州,非营运,其他
吉利汽车/帝豪三厢/2025款 第4代 1.5L 手动龙腾版,85BB,3.46万元,2026年02月,2024年08月,14305公里,北京,非营运,灰色
大众/朗逸/2019款 1.5 自动 舒适版 国VI,80BA,4.47万元,2026年02月,2019年12月,70795公里,杭州,非营运,白色
"中升车源
大众/速腾/2014款 1.6 手动 舒适型",60BD,1.81万元,2026年02月,2014年01月,119839公里,苏州,非营运,灰色
东风风行/风行M7/2021款 1.8T 手动尊享型,65BC,4.19万元,2026年02月,2022年08月,63389公里,北京,非营运,白色
比亚迪/E6/2016款 纯电动 400精英版,65DB,1.97万元,2026年02月,2016年10月,108165公里,北京,非营运,白色
日产/轩逸/2022款 1.2 自动 e-POWER 超智联PLUS,45BC,5.22万元,2026年02月,2022年08月,35617公里,北京,非营运,白色
比亚迪/宋PLUS新能源/2021款 1.5L 自动 DM-i 110KM 旗舰PLUS,85BB,6.20万元,2026年02月,2022年10月,81288公里,嘉兴,非营运,白色
福特/撼路者/2017款 2.0T 自动 旗舰版7座四驱,65BB,7.67万元,2026年02月,2017年03月,77373公里,北京,非营运,黑色
长安/悦翔V3/2015款 1.4 手动 美满型 国V,30DC,0.26万元,2026年02月,2016年05月,96057公里,北京,非营运,白色
斯巴鲁/傲虎/2015款 2.5 自动 豪华导航版 (进口),55BB,4.84万元,2026年02月,2015年02月,153418公里,北京,非营运,黑色
"中升车源
比亚迪/宋Pro/2019款 1.5T 自动 豪华型",65DD,3.00万元,2026年02月,2019年11月,70938公里,玉溪,非营运,灰色
"中升车源
Jeep/指南者(进口)/2011款 2.4 自动 运动版四驱 (进口)",75CC,0.80万元,2026年02月,2012年09月,188512公里,玉溪,非营运,白色
"中升车源
别克/昂科拉/2014款 1.4T 自动 都市精英型前驱",70BC,0.80万元,2026年02月,2014年09月,115791公里,长沙,非营运,红色
"中升车源
日产/逍客/2012款 2.0 自动 XV雷前驱",70DD,0.89万元,2026年02月,2012年08月,183558公里,广州,非营运,灰色
名爵/MG6/2019款 1.5T 自动 20T星辉版,60CB,1.89万元,2026年02月,2019年10月,205144公里,杭州,非营运,白色
吉利汽车/远景X6/2016款 1.8 手动 尊贵型,45BD,1.11万元,2026年02月,2017年10月,82213公里,金华,非营运,黑色
捷达/捷达VS5/2021款 280TSI 自动荣耀型,80BB,6.48万元,2026年02月,2021年12月,49662公里,北京,非营运,白色
"中升车源
沃尔沃/C70/2010款 2.5T 自动 T5 (进口)",60DC,1.20万元,2026年02月,2013年03月,216066公里,武汉,非营运,红色
"中升车源
大众/宝来三厢/2017款 1.6 手动 时尚型",40BC,1.77万元,2026年02月,2017年09月,113712公里,天津,非营运,黄色
宝马/X1/2020款 2.0T 自动 25Li领先型前驱,65CC,7.41万元,2026年02月,2020年03月,112759公里,上海,非营运,白色
本田/思域/2014款 2.4 手动 Si,35DC,3.52万元,2026年02月,2015年03月,204685公里,上海,非营运,白色
别克/英朗三厢/2013款 1.6 自动 GT时尚型,55CC,0.61万元,2026年02月,2013年07月,100755公里,上海,非营运,黄色
荣威/E950/2016款 1.4T 自动 豪华版 油电混合,45BC,1.06万元,2026年02月,2017年01月,246865公里,上海,非营运,黑色
别克/英朗两厢/2013款 1.6 自动 XT时尚型,65BD,0.80万元,2026年02月,2013年07月,61005公里,上海,非营运,蓝色
斯柯达/昊锐/2012款 1.8T 自动 贵雅版,95AA,0.50万元,2026年02月,2012年04月,173911公里,上海,非营运,黄色
马自达/马自达CX-4/2018款 2.0 自动 蓝天品位版前驱,80BB,4.50万元,2026年02月,2018年04月,91438公里,邯郸,非营运,红色
大众/速腾/2012款 1.6 自动 舒适型,50BC,1.61万元,2026年02月,2013年06月,179131公里,日照,非营运,灰色
"中升车源
江汽集团/瑞风S3/2016款 1.5 手动 豪华智能型",65CB,0.52万元,2026年02月,2016年08月,53782公里,温州,非营运,白色
标致/508/2015款 1.8T 自动 致臻版,80BB,2.29万元,2026年02月,2015年07月,99615公里,嘉兴,非营运,白色
比亚迪/汉/2020款 EV 四驱高性能版旗舰型,80BA,7.57万元,2026年02月,2022年05月,74736公里,沈阳,非营运,灰色
大众/辉昂/2016款 2.0T 自动 380TSI至尊版,70BB,8.77万元,2026年02月,2017年11月,151652公里,北京,非营运,黑色
日产/轩逸/2012款 1.6 自动 XL豪华版,55DC,1.58万元,2026年02月,2016年01月,160658公里,武汉,非营运,灰色
日产/天籁/2013款 2.0 自动 XL舒适版,75BC,2.53万元,2026年02月,2014年05月,182145公里,南通,非营运,黑色
别克/君威/2021款 552T 自动 精英型,65DB,4.43万元,2026年02月,2021年07月,124347公里,杭州,非营运,白色
大众/探岳/2023款 1.4T 自动 280TSI 两驱豪华Plus进阶版,85AB,13.99万元,2026年02月,2023年01月,39658公里,天津,非营运,黑色
"中升车源
本田/思域/2016款 1.5T 自动 220TURBO豪华版",65BC,5.00万元,2026年02月,2019年01月,89469公里,台州,非营运,蓝色
一汽/森雅R7/2016款 1.6 手动 智能型,95AA,0.77万元,2026年02月,2016年07月,62593公里,新乡,非营运,白色
众泰/T700/2017款 1.8T 自动 尊贵型,50CC,1.32万元,2026年02月,2017年08月,117421公里,哈尔滨,非营运,白色
丰田/卡罗拉/2014款 1.8 自动 至高版,70BB,3.25万元,2026年02月,2014年07月,131117公里,天津,非营运,灰色
腾势/腾势D9/2022款 1.5T 自动 DM-i 970 四驱旗舰型,90AB,20.63万元,2026年02月,2023年05月,74696公里,淄博,非营运,白色
大众/POLO两厢/2011款 1.6 自动 致尚版,95AA,0.41万元,2026年02月,2012年11月,83268公里,汕头,非营运,灰色
启辰/D50/2013款 1.6 自动 豪华版,95AA,0.61万元,2026年02月,2013年12月,115941公里,江门,非营运,灰色
"中升车源
大众/宝来三厢/2012款 1.6 自动 时尚型",50BC,1.16万元,2026年02月,2012年11月,114567公里,天津,非营运,灰色
五菱汽车/宏光S3/2018款 1.5 手动 豪华型,70BC,2.12万元,2026年02月,2017年11月,60824公里,宝鸡,非营运,白色
大众/速腾/2014款 1.6 自动 舒适型 改款,60BC,2.57万元,2026年02月,2014年07月,107546公里,天津,非营运,黄色
福特/福克斯两厢/2012款 1.6 自动 风尚型,55BC,1.57万元,2026年02月,2015年08月,102714公里,天津,非营运,白色
本田/思域/2016款 1.5T 自动 220TURBO尊贵版,80BB,5.17万元,2026年02月,2017年02月,80401公里,宜昌,非营运,蓝色
"中升车源
MINI/COUNTRYMAN/2013款 1.6T 自动 COOPER ALL4 Excitement (进口)",80AC,3.80万元,2026年02月,2014年10月,89470公里,包头,非营运,多彩色
奥迪/A6L/2019款 2.0T 自动 45TFSI臻选致雅型,80BB,17.35万元,2026年02月,2019年10月,128982公里,潍坊,非营运,黑色
比亚迪/宋PLUS新能源/2025款 1.5L 自动 DM-i 智驾版 112KM 尊荣型,85AC,9.50万元,2026年02月,2025年02月,3033公里,西安,非营运,灰色
大众/帕萨特/2013款 1.8TSI 自动 DSG政府采购版,60DD,1.60万元,2026年02月,2014年12月,256847公里,西安,非营运,黑色
东风风行/景逸X5/2017款 1.6 手动 豪华型,60BB,1.15万元,2026年02月,2017年05月,61461公里,保定,非营运,黑色
长城/风骏5/2017款 2.0T 手动 欧洲版精英型大双排GW4D20B后驱 柴油,40DB,2.90万元,2026年02月,2017年08月,164410公里,保定,非营运,灰色
比亚迪/秦PLUS/2025款 DM-i 智驾版 120KM超越型,95AA,6.50万元,2026年02月,2025年06月,929公里,德州,非营运,蓝色
岚图汽车/岚图FREE/2021款 四驱标准增程专属豪华套装,55DC,6.00万元,2026年02月,2021年07月,72104公里,武汉,非营运,蓝色
宝骏/560/2015款 1.8 手动 豪华型,95AA,0.92万元,2026年02月,2016年04月,52892公里,南宁,非营运,黑色
大众/途岳/2019款 1.4T 自动 280TSI舒适版前驱 国V,65AC,5.60万元,2026年02月,2019年01月,76820公里,南宁,非营运,蓝色
"中升车源
丰田/卡罗拉/2017款 改款 1.2T 自动 S-CVT GL",50BC,3.00万元,2026年02月,2017年06月,129449公里,福州,非营运,红色
标致/307两厢/2012款 1.6 自动 舒适版,95AA,0.48万元,2026年02月,2012年12月,37375公里,三亚,非营运,蓝色
本田/杰德/2017款 1.8 自动 舒适版5座,60CC,4.20万元,2026年02月,2017年12月,178734公里,广州,非营运,白色
奇瑞/瑞虎3/2015款 1.6 自动 智尚运动版,95AA,0.76万元,2026年02月,2016年01月,163157公里,佛山,非营运,棕色
标致/408/2015款 1.2T 自动 豪华版,45BB,1.31万元,2026年02月,2016年12月,105949公里,儋州,非营运,黑色
日产/奇骏/2021款 1.5T VC-Turbo 300 CVT 2WD舒适版,30BC,7.60万元,2026年02月,2022年05月,111557公里,三亚,非营运,白色
宝骏/310/2016款 1.2 手动 豪华型,95AA,0.58万元,2026年02月,2017年01月,43886公里,桂林,非营运,白色
大众/途观/2016款 1.4T 自动 280TSI丝绸之路风尚版前驱,60CC,3.50万元,2026年02月,2017年02月,178790公里,广州,非营运,白色
丰田/卡罗拉/2017款 1.6 自动 GL 改款,45DC,2.70万元,2026年02月,2018年04月,343424公里,广州,非营运,白色
比亚迪/S7/2015款 2.0T 自动 升级版尊贵型,95AA,0.69万元,2026年02月,2016年01月,109640公里,广州,非营运,棕色
"中升车源
陆风/X5/2013款 2.0T 手动 创行版",95AA,0.44万元,2026年02月,2014年04月,107335公里,广州,非营运,棕色
宝骏/730/2014款 1.5 手动 舒适型ESP版7座,30DC,0.64万元,2026年02月,2015年09月,246315公里,广州,非营运,灰色
海马/S7/2013款 2.0 自动 智享版,95AA,0.51万元,2026年02月,2013年12月,134351公里,佛山,非营运,白色
"中升车源
北京汽车/绅宝D50/2014款 1.5 自动 标准版",95AA,0.32万元,2026年02月,2015年04月,109667公里,佛山,非营运,白色
"中升车源
现代/朗动/2013款 1.6 自动 GLX领先型",30DD,1.02万元,2026年02月,2014年10月,235072公里,广州,非营运,黄色
雪铁龙/世嘉三厢/2016款 1.6 手动 经典型 CNG,70DB,0.93万元,2026年02月,2016年03月,84410公里,烟台,租赁公司非营运,白色
大众/速腾/2015款 1.4T 自动 230TSI豪华型,55BC,3.60万元,2026年02月,2016年01月,85243公里,南宁,非营运,灰色
马自达/CX-5/2017款 2.0 自动 智享型前驱,60DB,5.30万元,2026年02月,2019年04月,148243公里,南宁,非营运,白色
大众/桑塔纳浩纳/2015款 1.6 自动 风尚版,55DC,1.33万元,2026年02月,2016年01月,153882公里,广州,非营运,棕色
哈弗/哈弗M6/2021款 1.5T 自动 DCT豪华智联型PLUS,45DC,2.56万元,2026年02月,2021年01月,100733公里,广州,非营运,黑色
吉利汽车/博越/2018款 1.8T 自动 智联型4G互联版前驱,70BC,2.52万元,2026年02月,2018年02月,74339公里,广州,非营运,白色
宝马/3系/2020款 2.0T 自动 325Li M运动曜夜套装,80BB,13.77万元,2026年02月,2019年09月,98773公里,广州,非营运,白色
五菱汽车/宏光S3/2018款 1.5 手动 舒适型,95AA,1.39万元,2026年02月,2018年11月,82806公里,佛山,非营运,白色
丰田/卡罗拉/2011款 1.6 自动 GL,95AA,1.10万元,2026年02月,2011年01月,101105公里,广州,非营运,灰色
本田/凌派/2016款 1.8 自动 豪华版,75AA,5.02万元,2026年02月,2018年01月,34084公里,广州,非营运,白色
雪佛兰/科鲁兹三厢/2015款 1.5 手动 经典版SE,95AA,0.71万元,2026年02月,2016年04月,109313公里,珠海,非营运,红色
雪佛兰/科鲁兹三厢/2015款 1.5 手动 经典版SE,95AA,0.71万元,2026年02月,2016年04月,109313公里,珠海,非营运,红色
"中升车源
宝骏/730/2014款 1.5 手动 豪华导航ESP版7座",30BC,0.85万元,2026年02月,2015年01月,73899公里,广州,非营运,棕色
日产/轩逸/2019款 1.6 自动 经典XE舒适版,70AC,3.45万元,2026年02月,2019年12月,131394公里,阳江,非营运,白色
"中升车源
东风风行/景逸XV/2016款 1.6 自动 豪华型5座",95AA,0.46万元,2026年02月,2016年01月,93428公里,广州,非营运,棕色
丰田/花冠/2013款 1.6 自动 卓越型,50DC,2.20万元,2026年02月,2014年11月,189293公里,茂名,非营运,灰色
别克/君威/2017款 1.5T 自动 20T精英型,55CC,3.38万元,2026年02月,2018年01月,108726公里,珠海,非营运,红色
比亚迪/唐新能源/2015款 2.0T 自动 四驱旗舰型 混动,65BD,1.10万元,2026年02月,2015年09月,120824公里,广州,非营运,白色
雷克萨斯/ES/2020款 2.0 自动 200卓越版 (进口),70CB,13.84万元,2026年02月,2020年11月,87444公里,肇庆,非营运,白色
"中升车源
宝马/5系/2017款 2.0T 自动 520Li典雅型",55DC,6.66万元,2026年02月,2017年05月,129816公里,广州,非营运,白色
比亚迪/宋PLUS新能源/2021款 EV 旗舰型,65DC,5.47万元,2026年02月,2022年01月,167831公里,湛江,非营运,黑色
宝骏/560/2016款 1.5T 手动 豪华型,65BC,0.82万元,2026年02月,2016年12月,108276公里,江门,非营运,白色
本田/飞度两厢/2018款 1.5 自动 舒适版,55DC,2.65万元,2026年02月,2019年05月,140436公里,广州,非营运,白色
比亚迪/唐新能源/2021款 1.5T 自动 DM-i 112KM 尊贵型,80BB,7.21万元,2026年02月,2022年05月,66527公里,珠海,非营运,白色
众泰/SR9/2017款 2.0T 自动 极致之光,95AA,1.25万元,2026年02月,2017年08月,90080公里,佛山,非营运,白色
广汽传祺/传祺GS4/2015款 1.3T 自动 200T精英版,70CB,1.95万元,2026年02月,2016年06月,61803公里,韶关,非营运,黄色
启辰/R50/2012款 1.6 自动 舒适版,60BC,1.02万元,2026年02月,2012年12月,101567公里,江门,非营运,红色
广汽传祺/传祺M6/2021款 1.5T 自动 270T DCT尊享版（七座）,50BC,5.28万元,2026年02月,2021年01月,136988公里,江门,非营运,白色
日产/逍客/2016款 2.0 自动 豪华版,70CC,3.26万元,2026年02月,2017年02月,73844公里,广州,非营运,黄色
方程豹/钛7/2025款 190KM四驱Ultra版,95AA,18.59万元,2026年02月,2025年11月,2804公里,广州,非营运,绿色
日产/楼兰/2021款 2.5L 自动 XL两驱智联豪华版,65AC,6.82万元,2026年02月,2020年08月,89996公里,广州,租赁公司非营运,白色
本田/奥德赛/2013款 2.4 自动 豪华版,45CC,3.70万元,2026年02月,2013年08月,196559公里,广州,非营运,紫色
丰田/卡罗拉/2011款 1.6 手动 GL天窗版,60CD,0.80万元,2026年02月,2011年01月,229152公里,广州,非营运,灰色
五菱汽车/五菱星辰/2021款 1.5T 自动 CVT星曜版,60BC,3.70万元,2026年02月,2021年09月,89161公里,广州,非营运,其他
丰田/凯美瑞/2007款 2.0 自动 200G豪华型,40DD,1.22万元,2026年02月,2007年10月,57328公里,广州,非营运,灰色
沃尔沃/XC60/2016款 2.0T 自动 T5智驭版四驱,60BC,3.70万元,2026年02月,2016年08月,213826公里,广州,非营运,棕色
三菱/劲炫ASX/2018款 1.6 手动 时尚版,55DC,1.84万元,2026年02月,2019年09月,60389公里,江门,非营运,白色
"中升车源
日产/轩逸/2016款 1.6 自动 XV智享版",45BC,3.20万元,2026年02月,2017年03月,87281公里,广州,非营运,白色
"中升车源
丰田/凯美瑞/2011款 2.4 自动 240G豪华型周年纪念版",40CC,1.65万元,2026年02月,2011年08月,200775公里,茂名,非营运,黑色
"中升车源
本田/奥德赛/2008款 2.4 自动 舒适型",45DD,1.30万元,2026年02月,2008年09月,247196公里,广州,非营运,紫色
"中升车源
奔腾/B30/2016款 1.6 自动 豪华型",95AA,0.89万元,2026年02月,2016年09月,46717公里,中山,非营运,白色
"中升车源
纳智捷/优6/2015款 1.8T 自动 时尚型",95AA,0.63万元,2026年02月,2016年02月,259843公里,广州,非营运,棕色
宝骏/510/2017款 1.5 手动 豪华型,60DC,1.01万元,2026年02月,2018年08月,51914公里,广州,非营运,白色
"中升车源
别克/昂科拉/2013款 1.4T 自动 领先型前驱",60CD,1.02万元,2026年02月,2013年10月,74815公里,珠海,非营运,白色
北汽威旺/威旺M20/2014款 1.5 手动 基本型BJ415B,95AA,0.16万元,2026年02月,2015年08月,112778公里,佛山,非营运,灰色
"中升车源
标致/308/2014款 乐享版 经典 1.6L 自动优尚型",50DC,0.37万元,2026年02月,2014年10月,162411公里,珠海,非营运,红色
大众/朗逸/2021款 1.4T 自动 280TSI舒适版,60DC,3.82万元,2026年02月,2020年11月,265248公里,广州,非营运,白色
宝骏/360/2018款 1.5 自动 精英型,40CD,1.40万元,2026年02月,2018年09月,177742公里,广州,非营运,蓝色
标致/301/2016款 1.6 手动 舒适型,95AA,0.46万元,2026年02月,2016年09月,113622公里,江门,非营运,灰色
荣威/RX3/2018款 1.6 手动 互联网智享版,65BD,1.00万元,2026年02月,2018年02月,43878公里,肇庆,非营运,蓝色
大众/迈腾/2019款 2.0T 自动 330TSI领先型 国VI,45BC,5.83万元,2026年02月,2019年10月,356036公里,广州,非营运,黑色
"中升车源
起亚/K3/2016款 1.6 自动 GL",60CC,2.80万元,2026年02月,2018年02月,93473公里,广州,非营运,白色
东风风神/风神AX7/2015款 2.0 自动 智逸型,95AA,0.71万元,2026年02月,2015年12月,126051公里,佛山,非营运,白色
哈弗/哈弗H6/2015款 1.5T 手动 运动版精英型前驱 改款,95AA,0.73万元,2026年02月,2016年03月,205774公里,珠海,非营运,黑色
本田/飞度两厢/2018款 1.5 自动 舒适版,60BB,3.00万元,2026年02月,2018年11月,98457公里,珠海,非营运,白色
奔腾/X80/2015款 2.0 自动 舒适周年纪念型,95AA,0.64万元,2026年02月,2015年01月,167134公里,珠海,非营运,白色
"中升车源
别克/威朗两厢/2016款 1.5T 自动 GS 20T燃情运动型",45BC,1.73万元,2026年02月,2016年04月,214461公里,珠海,非营运,白色
比亚迪/F3/2015款 1.5 手动 豪华型节能版,95AA,0.32万元,2026年02月,2015年04月,0公里,湛江,非营运,黑色
福特/福睿斯/2017款 1.5 手动 舒适型 改款,50CC,1.15万元,2026年02月,2018年05月,130731公里,广州,非营运,白色
"中升车源
本田/CR-V/2015款 2.0 自动 都市版前驱",80DB,4.74万元,2026年02月,2016年03月,197303公里,无锡,非营运,黑色
日产/轩逸/2020款 1.6 自动 XL智享版 改款,55CC,5.45万元,2026年02月,2021年01月,62796公里,广州,非营运,灰色
红旗/HS5/2019款 2.0T 自动 智联旗享版,60AC,6.30万元,2026年02月,2020年06月,62460公里,广州,非营运,黑色
本田/雅阁/2018款 1.5T 自动 260TURBO精英版,65DC,7.47万元,2026年02月,2019年05月,52613公里,广州,非营运,灰色
"中升车源
本田/缤智/2017款 1.8 自动 先锋型前驱",30CC,3.30万元,2026年02月,2017年10月,197584公里,广州,非营运,红色
"中升车源
本田/雅阁/2004款 2.4L 自动",95AA,0.39万元,2026年02月,2004年12月,281009公里,广州,非营运,黑色
"中升车源
现代/胜达/2013款 2.4 自动 舒适型前驱",35CD,1.32万元,2026年02月,2014年02月,148531公里,广州,非营运,棕色
雷诺/卡缤/2015款 1.2T 自动 舒适版 (进口),65DB,1.11万元,2026年02月,2016年01月,96563公里,温州,非营运,其他
比亚迪/宋/2016款 1.5T 自动 盖世版豪雅型前驱,40CD,0.90万元,2026年02月,2016年11月,138858公里,广州,非营运,白色
"中升车源
雪佛兰/赛欧3/2015款 1.3 自动 理想版",60BC,1.02万元,2026年02月,2017年12月,27397公里,无锡,非营运,白色
大众/速腾/2017款 1.4T 自动 230TSI舒适型,75DB,3.47万元,2026年02月,2017年08月,157842公里,杭州,非营运,黑色
福特/翼虎/2013款 1.6T 自动 GTDi舒适型前驱,80BC,1.30万元,2026年02月,2014年03月,115609公里,长沙,非营运,灰色
比亚迪/宋L DM-i/2025款 智驾版 160km 超越型,95AA,10.50万元,2026年02月,2025年02月,2155公里,济南,非营运,白色
江汽集团/瑞风S3/2017款 1.5 手动 豪华型,60AC,0.62万元,2026年02月,2017年06月,89607公里,东莞,非营运,白色
凯迪拉克/XTS/2014款 2.0T 自动 28T精英型,70CC,2.32万元,2026年02月,2014年05月,159203公里,济南,非营运,黑色
比亚迪/海豹06GT/2025款 智驾版 505海浪Plus版,90AB,8.29万元,2026年02月,2025年06月,7156公里,日照,非营运,黑色
比亚迪/元PLUS/2025款 智驾版 510KM 超越型,80BC,8.50万元,2026年02月,2025年03月,10795公里,济南,非营运,白色
"中升车源
一汽/骏派D60/2017款 1.5 手动 标准型",80BC,0.75万元,2026年02月,2018年04月,32209公里,临沂,非营运,白色
长安/逸动/2020款 1.6 手动 PLUS精英型,60CB,2.33万元,2026年02月,2020年06月,27180公里,天津,非营运,白色
纳智捷/U5 SUV/2017款 1.6 自动 爵士版,45BD,0.84万元,2026年02月,2017年12月,73218公里,海口,非营运,白色
东南/DX7/2017款 1.5T 自动 荣耀版,35DD,0.82万元,2026年02月,2016年12月,135956公里,海口,非营运,棕色
"中升车源
奥迪/A4/2006款 1.8T 自动 舒适型",60CA,0.60万元,2026年02月,2007年08月,123948公里,乌鲁木齐,非营运,灰色
大众/朗逸/2023款 1.5L 自动 得逸版,65BC,4.77万元,2026年02月,2022年12月,81032公里,北京,非营运,白色
比亚迪/海鸥/2024款 荣耀版 305km 活力版,90AA,3.52万元,2026年02月,2024年05月,22686公里,青岛,非营运,白色
比亚迪/海鸥/2025款 智驾版 305km 自由版,90AA,5.15万元,2026年02月,2025年06月,1692公里,青岛,非营运,白色
丰田/卡罗拉/2008款 1.8 自动 GL-i天窗特别版,60CB,1.30万元,2026年02月,2009年12月,198435公里,南宁,非营运,灰色
大众/T-ROC探歌/2022款 1.4T 自动 280TSI DSG两驱舒享PLUS,90AB,9.26万元,2026年02月,2022年07月,42471公里,呼和浩特,非营运,白色
本田/飞度两厢/2016款 1.5 自动 LX舒适型,60CB,2.35万元,2026年02月,2017年12月,71265公里,惠州,非营运,蓝色
本田/CR-V/2019款 1.5T 自动 240TURBO风尚版前驱 国V,70CB,8.00万元,2026年02月,2019年08月,76505公里,嘉兴,非营运,粉红色
大众/高尔夫/2016款 230TSI 自动豪华型,65CB,4.20万元,2026年02月,2017年01月,80017公里,济宁,非营运,白色
红旗/HS5/2022款 改款 2.0T 自动 智联旗享版,45BC,5.11万元,2026年02月,2022年06月,165112公里,盐城,非营运,黑色
现代/胜达/2015款 2.0T 自动 智能型5座前驱,70BC,2.81万元,2026年02月,2016年03月,157002公里,枣庄,非营运,白色
"中升车源
宝马/3系/2022款 2.0T 自动 325Li M 运动曜夜套装",80DB,12.87万元,2026年02月,2022年04月,71423公里,杭州,非营运,黑色
哈弗/哈弗猛龙新能源/2023款 1.5T 自动 Hi4 145 探索版,65BA,10.72万元,2026年02月,2023年12月,25467公里,南通,非营运,灰色
"中升车源
宝马/5系/2014款 2.0T 自动 525Li风尚设计套装",65BB,4.71万元,2026年02月,2014年01月,211971公里,惠州,非营运,灰色
宝马/3系Coupe/2011款 325i双门轿跑车 (进口),55DC,1.75万元,2026年02月,2011年04月,215646公里,杭州,非营运,黑色
"中升车源
大众/高尔夫/2012款 1.4T 自动 舒适型",75BB,2.18万元,2026年02月,2013年07月,94344公里,大连,非营运,红色
宝骏/560/2016款 1.5T 手动 精英型,60BB,0.85万元,2026年02月,2017年01月,61689公里,惠州,非营运,黑色
日产/轩逸/2016款 1.6 自动 XL豪华版,70BC,3.09万元,2026年02月,2017年08月,83337公里,桂林,非营运,黑色
"中升车源
东风风行/菱智/2015款 1.6 手动 M3标准型7座",30DD,3.00万元,2026年02月,2015年04月,106092公里,东莞,非营运,灰色
雷克萨斯/RX/2025款 2.0T 自动 300 四驱骏享版,70DA,21.50万元,2026年02月,2025年07月,15748公里,昆明,非营运,灰色
"中升车源
日产/颐达/2006款 1.6 自动 JE",50BD,0.63万元,2026年02月,2007年09月,117552公里,东莞,非营运,黑色
宝马/2系旅行车/2016款 1.5T 自动 218i时尚型,80BC,3.50万元,2026年02月,2016年10月,100501公里,天津,非营运,蓝色
福特/撼路者/2019款 2.0T 自动 旗舰版7座四驱,70BB,8.33万元,2026年02月,2019年09月,82416公里,北京,非营运,白色
丰田/卡罗拉/2017款 1.8 自动 领先版双擎 混动 改款,70CB,3.70万元,2026年02月,2017年10月,136251公里,杭州,非营运,白色
比速汽车/比速M3/2017款 1.5L 豪华型,95AA,0.67万元,2026年02月,2017年10月,56657公里,海口,非营运,白色
吉利汽车/远景X3/2020款 1.5 自动 精英型,55CC,1.75万元,2026年02月,2020年06月,70692公里,海口,非营运,白色
大众/Cross POLO/2014款 1.6 自动,65BB,1.82万元,2026年02月,2014年07月,95837公里,嘉兴,非营运,黄色
丰田/普拉多/2024款 2.4T 自动 全能TX版 6座,85AB,40.80万元,2026年02月,2025年03月,17415公里,北京,非营运,白色
"中升车源
奥迪/Q5/2016款 2.0T 自动 40TFSI技术型",65CC,5.30万元,2026年02月,2016年05月,155811公里,成都,非营运,棕色
丰田/RAV4荣放/2020款 2.0L 自动 CVT四驱风尚版,80BC,8.63万元,2026年02月,2020年10月,125468公里,哈尔滨,非营运,白色
大众/迈腾/2012款 1.8T 自动 豪华型,40CD,1.61万元,2026年02月,2012年06月,117600公里,临沂,非营运,黑色
丰田/RAV4荣放/2020款 2.0L 自动 CVT四驱风尚版,80BC,8.63万元,2026年02月,2020年10月,125468公里,哈尔滨,非营运,白色
大众/迈腾/2012款 1.8T 自动 豪华型,40CD,1.61万元,2026年02月,2012年06月,117600公里,临沂,非营运,黑色
东风风神/皓极/2022款 马赫双擎 1.5T 自动 MHD 敢梦版,75BB,4.92万元,2026年02月,2022年09月,64635公里,惠州,非营运,其他
现代/瑞纳三厢/2014款 1.4 自动 GLS智能型,60BC,1.37万元,2026年02月,2015年06月,110638公里,哈尔滨,非营运,白色
"中升车源
凯迪拉克/CT6/2017款 2.0T 自动 28T领先型",50DB,5.69万元,2026年02月,2017年05月,332217公里,镇江,非营运,黑色
"中升车源
日产/天籁/2022款 2.0T XL 自动 进享版",85AA,11.10万元,2026年02月,2022年10月,24250公里,揭阳,非营运,白色
"中升车源
别克/昂科威Plus/2017款 1.5T 自动 20T精英型前驱",55AB,2.70万元,2026年02月,2017年01月,198937公里,深圳,非营运,棕色
"中升车源
福特/福克斯两厢/2013款 1.8 自动 经典基本型",55CB,0.60万元,2026年02月,2015年01月,88322公里,南京,非营运,白色
"中升车源
长安/奔奔MINI/2012款 1.0 手动 时尚型 国V",95AA,0.32万元,2026年02月,2015年10月,123641公里,本溪,非营运,白色
"中升车源
五菱汽车/MINIEV/2021款 马卡龙臻享款 三元锂",95AA,0.77万元,2026年02月,2021年05月,98120公里,营口,非营运,其他
大众/宝来三厢/2011款 1.6 自动 时尚型,60BC,1.01万元,2026年02月,2011年01月,141795公里,深圳,非营运,灰色
大众/途观L/2019款 2.0T 自动 380TSI智动豪华版四驱,80BB,6.62万元,2026年02月,2019年03月,159550公里,杭州,非营运,白色
五菱汽车/宏光/2013款 1.2 手动 S舒适型5-8座,40DC,0.48万元,2026年02月,2014年06月,159260公里,东莞,非营运,棕色
一汽/佳宝V80/2014款 1.5L 手动 加长全能版标准型,40DC,0.58万元,2026年02月,2019年01月,32685公里,杭州,非营运,白色
雪铁龙/C4L/2013款 1.6T 自动 劲驰版,70CD,1.13万元,2026年02月,2013年12月,35794公里,上海,非营运,白色
