vehicle,actual,predicted,low,high,in_range,grade,years,success,price_group,year_group
福特 锐界 2016款 2.0T 自动 EcoBoost245豪锐型7座前驱,5.1,5.68,5.17,6.16,False,中,7.83,True,5-10万,5-8年
大众 桑塔纳 2018款 1.5 自动 风尚版,1.97,2.15,1.67,2.06,True,差,6.75,True,1-3万,5-8年
宝马 5系 2013款 2.0T 自动 520Li典雅型,3.79,4.38,3.97,4.77,False,中,12.17,True,3-5万,>10年
大众 速腾 2017款 1.6 自动 舒适型,3.9,3.24,2.53,3.05,False,差,8.5,True,3-5万,8-10年
雪铁龙 C3-XR 2015款 1.6 手自一体 智能型,1.66,1.46,1.1,1.46,False,差,8.67,True,1-3万,8-10年
大众 捷达 2013款 1.6 手动 舒适型,1.4,1.28,1.13,1.43,True,中,10.58,True,1-3万,>10年
奔驰 E级 2018款 2.0T 自动 E300L豪华型 改款,19.65,17.03,15.84,18.19,False,中,6.92,True,10-20万,5-8年
雪佛兰 科鲁兹 2013款 1.8 手自一体 SE,0.45,0.62,0.42,0.82,True,中,11.83,True,<1万,>10年
哈弗 哈弗H2 2014款 1.5T 手动 尊贵型前驱,0.87,1.01,0.86,1.16,True,中,10.0,True,<1万,8-10年
本田 CR-V 2017款 1.5T 无级 240TURBO 两驱都市版,6.62,7.04,6.43,7.62,True,中,7.5,True,5-10万,5-8年
本田 思域 2019款 1.5T 自动 220TURBO燃动版 国VI,5.92,6.05,5.51,6.56,True,中,5.0,True,5-10万,3-5年
比亚迪 秦新能源 2017款 1.5T 自动 尊贵型,1.37,1.96,1.73,2.19,False,中,7.0,True,1-3万,5-8年
奥迪 Q2L 2022款 1.4T 自动 35 TFSI 进取动感型,9.21,7.89,7.23,8.52,False,中,3.33,True,5-10万,3-5年
大众 POLO两厢 2014款 1.6 自动 舒适版,1.6,2.05,1.84,2.25,False,中,10.67,True,1-3万,>10年
长城 M4 2012款 1.5 手动 舒适型,0.39,0.47,0.31,0.71,True,优,11.58,True,<1万,>10年
丰田 锐志 2006款 2.5S 手自一体 特别版,0.6,0.84,0.64,1.04,False,中,19.0,True,<1万,>10年
大众 高尔夫 2011款 1.6 自动 舒适型,1.3,1.41,1.24,1.58,True,中,14.33,True,1-3万,>10年
奔驰 A级（进口） 2011款 1.5 自动 A160 (进口),2.2,2.63,2.37,2.87,False,中,12.75,True,1-3万,>10年
大众 迈腾 2012款 2.0T 自动 至尊型,2.68,2.25,2.28,2.64,False,优,14.17,True,1-3万,>10年
现代 ix35 2012款 2.0 自动 GLS精英版前驱,0.91,1.19,1.04,1.34,False,中,12.83,True,<1万,>10年
欧尚 X7 2020款 1.5T 双离合 旗舰型,3.75,3.49,3.15,3.81,True,中,4.92,True,3-5万,3-5年
大众 宝来三厢 2019款 1.5 自动 舒适型,3.55,3.49,2.73,3.29,False,差,6.75,True,3-5万,5-8年
大众 速腾 2012款 1.4T 自动 时尚型,2.48,1.91,1.68,2.14,False,中,12.5,True,1-3万,>10年
本田 第七代雅阁 2007款 2.4 自动 经典版 舒适版,0.43,0.81,0.5,0.9,False,差,17.67,True,<1万,>10年
别克 昂科威Plus 2018款 1.5T 自动 20T精英型前驱,4.0,5.01,4.55,5.45,False,中,6.67,True,3-5万,5-8年
斯柯达 晶锐 2015款 1.4 自动 创行版,2.08,1.76,1.71,2.13,True,优,9.92,True,1-3万,8-10年
福特 福克斯-两厢 2015款 1.0GTDi 手动 EcoBoost 125 ,1.34,1.51,1.47,1.83,False,优,9.5,True,1-3万,8-10年
三菱 欧蓝德 2016款 2.4 自动 精英版5座四驱,4.47,4.39,3.98,4.78,True,中,8.58,True,3-5万,8-10年
本田 CR-V 2010款 2.0 自动 EXi 经典版,2.17,1.75,1.54,1.96,False,中,14.75,True,1-3万,>10年
大众 朗逸 2021款 1.5 手自一体 视野版,4.74,4.65,4.22,5.06,True,中,4.0,True,3-5万,3-5年
奥迪 Q5 2017款 2.0T 自动 40TFSI技术型Plus,9.16,8.11,8.48,9.18,True,优,7.75,True,5-10万,5-8年
风行 景逸X3 2015款 1.5 手动 舒适型,0.3,0.41,0.21,0.61,True,中,9.92,True,<1万,8-10年
路虎 揽胜极光（进口） 2012款 2.0T 自动 耀动版五门 (进口),3.24,3.74,3.39,4.09,False,中,13.33,True,3-5万,>10年
丰田 威兰达 2021款 2.0 自动 豪华版四驱,9.53,10.12,9.32,10.88,True,中,3.58,True,5-10万,3-5年
宝马 X3(进口） 2011款 3.0 自动 28i豪华型 (进口),4.78,3.67,3.85,4.21,False,优,12.83,True,3-5万,>10年
奥迪 Q5 2015款 2.0T 自动 40TFSI技术型,7.81,6.48,6.78,7.36,False,优,9.75,True,5-10万,8-10年
大众 Cross POLO 2012款 1.6 自动,1.6,1.87,1.42,1.86,True,差,11.0,True,1-3万,>10年
本田 艾力绅 2012款 2.4 自动 舒适版,6.72,5.97,5.44,6.48,False,中,10.42,True,5-10万,>10年
奥迪 A4L 2015款 2.0TFSI 无级 35TFSI 标准型,3.8,4.35,3.94,4.74,False,中,10.58,True,3-5万,>10年
WEY VV5 2017款 2.0T 自动 旗舰型,3.5,3.07,2.77,3.35,False,中,7.33,True,3-5万,5-8年
丰田 亚洲龙 2019款 2.5 自动 豪华版双擎 混动 国VI,12.08,9.73,8.96,10.48,False,中,4.5,True,10-20万,3-5年
海马 福美来三代 2014款 1.6 手动 时尚版,0.24,0.37,0.17,0.57,True,中,11.42,True,<1万,>10年
比亚迪 L3 2012款 1.5 手动 舒适型,0.33,0.37,0.17,0.57,True,中,11.75,True,<1万,>10年
大众 帕萨特 2014款 2.0T 自动 御尊导航版,2.44,2.96,2.67,3.24,False,中,10.83,True,1-3万,>10年
起亚 K4 2014款 1.8 自动 GL,2.24,2.11,1.89,2.31,True,中,10.58,True,1-3万,>10年
WEY VV7s 2017款 2.0T 双离合 旗舰型,3.35,3.32,3.0,3.63,True,中,7.67,True,3-5万,5-8年
别克 凯越 2013款 1.5 自动 经典型,0.65,0.62,0.42,0.82,True,中,11.83,True,<1万,>10年
大众 高尔夫 2015款 1.4T 自动 舒适型,3.48,3.79,3.98,4.35,False,优,9.42,True,3-5万,8-10年
日产 天籁 2004款 2.3 自动 230JK,0.35,0.64,0.36,0.76,False,差,19.5,True,<1万,>10年
斯柯达 昕动 2016款 1.6 手动 创行版 改款,1.38,1.86,1.41,1.85,False,差,8.92,True,1-3万,8-10年
日产 骊威 2015款 1.6 自动 XE舒适互联版,2.94,2.3,2.07,2.52,False,中,6.25,True,1-3万,5-8年
比亚迪 汉 2025款 1.5T 自动 DM-i 125KM尊贵型,11.21,11.51,12.02,12.94,False,优,0.58,True,10-20万,0-3年
坦克 坦克300 2021款 越野版 2.0T自动 征服者,14.6,13.27,13.85,14.87,True,优,3.42,True,10-20万,3-5年
哈弗 哈弗H6 2013款 1.5T 手动 运动版尊贵型前驱,0.6,0.64,0.35,0.75,True,差,11.5,True,<1万,>10年
丰田 RAV4荣放 2013款 特享版 2.0L 自动 经典,2.78,3.39,3.06,3.7,False,中,12.33,True,1-3万,>10年
哈弗 哈弗H6 2017款 1.5T 自动 蓝标运动版豪华型前驱,1.56,1.73,1.3,1.72,True,差,8.92,True,1-3万,8-10年
大众 速腾 2011款 1.4T 自动 技术型,0.89,0.77,0.47,0.87,False,差,14.67,True,<1万,>10年
丰田 卡罗拉 2016款 1.6 无级 GL-i 炫酷版,2.41,2.79,2.52,3.05,False,中,10.42,True,1-3万,>10年
起亚 K3 2016款 1.6 自动 GLS,2.53,2.04,1.57,1.95,False,差,8.75,True,1-3万,8-10年
本田 锋范 2015款 1.5 手动 进取版,2.21,2.2,1.97,2.41,True,中,8.17,True,1-3万,8-10年
大众 朗逸三厢 2017款 1.4T 自动 230TSI舒适版,3.86,3.34,3.02,3.65,False,中,7.33,True,3-5万,5-8年
腾势 腾势D9 2022款 1.5T 自动 DM-i 970 四驱旗舰型,23.5,19.91,20.76,22.22,False,优,2.0,True,>20万,0-3年
大众 速腾 2012款 1.6 自动 舒适型,1.42,1.44,1.41,1.75,True,优,13.0,True,1-3万,>10年
比亚迪 宋L DM-i 2024款 1.5L 自动 112km 超越型,8.43,7.88,8.24,8.93,True,优,0.75,True,5-10万,0-3年
本田 缤智 2020款 1.5 自动 先锋版,6.15,5.79,6.06,6.59,True,优,4.5,True,5-10万,3-5年
长安 CS35 2015款 1.6 自动 豪华型 国V,1.38,0.96,0.76,1.16,False,中,10.08,True,1-3万,>10年
别克 威朗三厢 2018款 1.5 自动 15S进取型,2.28,2.79,2.51,3.05,False,中,7.75,True,1-3万,5-8年
丰田 花冠 2004款 1.8 自动 GLX-I,0.37,0.59,0.44,0.84,False,优,19.33,True,<1万,>10年
丰田 卡罗拉 2019款 1.2T 自动 S-CVT GL-i精英版,5.0,4.75,4.98,5.43,True,优,5.33,True,3-5万,5-8年
比亚迪 元PLUS 2022款510KM 旗舰型,6.15,6.85,6.26,7.42,False,中,1.83,True,5-10万,0-3年
奥迪 A4L 2015款 2.0TFSI 无级 35TFSI 标准型,4.22,4.9,4.45,5.33,False,中,9.92,True,3-5万,8-10年
风行 景逸X3 2015款 1.5 手动 舒适型,0.26,0.39,0.19,0.59,True,中,10.08,True,<1万,>10年
吉利 帝豪-三厢 2017款 1.5 手动 百万款时尚型,0.98,0.98,0.66,1.06,True,差,7.58,True,<1万,5-8年
宝骏 560 2017款 1.5T 手动 律动版尊享型,1.5,1.24,1.09,1.39,False,中,7.83,True,1-3万,5-8年
奥迪 A6L 2012款 2.0T 自动 TFSI舒适型,5.65,5.32,4.84,5.78,True,中,12.33,True,5-10万,>10年
广汽传祺 传祺GS4 2022款 1.5T 自动 270T 智行领航版（升级版）,6.06,5.24,4.77,5.7,False,中,2.0,True,5-10万,0-3年
猎豹汽车 CS10 2017款 1.5T 自动 精英型,0.8,0.79,0.49,0.89,True,差,8.17,True,<1万,8-10年
本田 缤智 2015款 1.8 自动 豪华版前驱,2.94,3.35,2.62,3.15,True,差,10.0,True,1-3万,8-10年
雪佛兰 科鲁泽 2020款 1.3T 自动 轻混 RS 330T畅快版,3.66,2.97,2.68,3.25,False,中,4.17,True,3-5万,3-5年
斯柯达 昕锐 2013款 1.6 手动 乐选型,1.15,1.02,0.87,1.17,True,中,10.92,True,1-3万,>10年
雪佛兰 赛欧三厢 2010款 1.4 手动 理想版,0.15,0.29,0.12,0.52,True,优,13.17,True,<1万,>10年
比亚迪 F3 2014款 1.5 自动 豪华型,0.21,0.37,0.2,0.6,True,优,11.0,True,<1万,>10年
比亚迪 元PLUS 2022款 510KM 旗舰型PLUS,8.05,7.02,7.35,7.97,False,优,2.08,True,5-10万,0-3年
别克 凯越 2011款 1.6 手动 LX,0.22,0.36,0.19,0.59,True,优,12.92,True,<1万,>10年
五菱 宏光V 2022款 1.5 手动 劲享版,2.97,3.02,3.18,3.48,False,优,1.83,True,1-3万,0-3年
大众 高尔夫 2016款 1.4T 自动 230TSI 舒适型,2.98,3.75,3.39,4.09,False,中,8.75,True,1-3万,8-10年
比亚迪 秦PLUS 2021款 EV 600KM 旗舰型,6.53,4.08,4.28,4.68,False,优,3.58,True,5-10万,3-5年
沃尔沃 S60 2023款 自动 B4 智逸豪华版,11.91,10.44,10.91,11.76,False,优,2.67,True,10-20万,0-3年
福特 福克斯三厢 2013款 1.8 手动 经典时尚型,0.35,0.57,0.37,0.77,False,中,11.83,True,<1万,>10年
比亚迪 秦新能源 2015款 1.5T 自动 双冠旗舰版,0.91,1.04,0.89,1.19,True,中,10.0,True,<1万,8-10年
日产 奇骏 2014款 2.0 自动 XL智领版前驱,3.96,3.86,3.49,4.21,True,中,10.42,True,3-5万,>10年
吉利汽车 帝豪三厢 2014款 1.5 手动 精英型,0.66,0.51,0.36,0.76,True,优,9.5,True,<1万,8-10年
丰田 威驰 2005款 1.5 自动 GL-i,0.33,0.49,0.23,0.63,True,差,18.92,True,<1万,>10年
日产 颐达 2008款 1.6 自动 JE智能型,0.5,0.56,0.28,0.68,True,差,16.17,True,<1万,>10年
奥迪 A6L 2010款 2.0T 自动 TFSI标准型,1.79,1.56,1.37,1.75,False,中,15.58,True,1-3万,>10年
丰田 花冠 2011款 1.6 手动 经典型,0.84,1.27,1.12,1.42,False,中,13.42,True,<1万,>10年
日产 天籁 2007款 2.3 自动 230JK 豪华天窗版,0.36,0.59,0.31,0.71,True,差,17.58,True,<1万,>10年
比亚迪 F3 2013款 1.5 手动 舒适型,0.21,0.53,0.26,0.66,False,差,8.0,True,<1万,5-8年
比亚迪 宋Pro新能源 2025款 第二代 1.5L 自动 DM-i 115KM,7.5,8.36,8.74,9.45,False,优,0.58,True,5-10万,0-3年
奔驰 C级 2015款 2.0T 自动 C200L 改款,5.82,6.99,6.39,7.56,False,中,10.33,True,5-10万,>10年
广汽传祺 传祺GS3 2017款 1.5 自动 150N精英版,3.02,2.53,2.28,2.77,False,中,5.83,True,3-5万,5-8年
现代 ix35 2012款 2.0 手自一体 GLS 两驱精英型,1.35,1.3,1.14,1.46,True,中,12.5,True,1-3万,>10年
日产 骐达 2008款 1.6 自动 智能型,1.0,0.71,0.42,0.82,False,差,15.33,True,<1万,>10年
日产 轩逸 2022款 1.6L 自动 XL悦享版,6.5,4.32,3.91,4.7,False,中,3.25,True,5-10万,3-5年
比亚迪 S7 2015款 2.0T 自动 旗舰型,0.9,0.83,0.71,1.11,True,优,10.75,True,<1万,>10年
丰田 雷凌 2017款 1.8 自动 H GS精英天窗版双擎 改款 混动,4.53,4.17,3.77,4.54,True,中,5.92,True,3-5万,5-8年
沃尔沃 XC60 2015款 2.0T 自动 T5智远版四驱,5.2,5.3,4.82,5.76,True,中,8.83,True,5-10万,8-10年
比亚迪 宋MAX 2017款 1.5T 自动 智联豪华型7座,2.59,2.55,2.29,2.79,True,中,6.08,True,1-3万,5-8年
比亚迪 海豚 2024款 荣耀版 420km 时尚版,6.57,5.73,6.0,6.52,False,优,1.08,True,5-10万,0-3年
大众 桑塔纳 2013款 1.4 手动 舒适版,1.3,1.28,1.13,1.43,True,中,9.08,True,1-3万,8-10年
海马 S5 2016款 1.5T 自动 创享版,0.67,0.77,0.64,1.04,True,优,9.17,True,<1万,8-10年
标致 408 2015款 1.2T 自动 豪华版,1.14,1.44,1.41,1.75,False,优,9.75,True,1-3万,8-10年
大众 POLO两厢 2014款 1.6 自动 舒适版,2.8,2.42,2.18,2.65,False,中,9.08,True,1-3万,8-10年
大众 迈腾 2019款 2.0TSI 双离合 330TSI 领先型,7.3,7.82,7.16,8.45,True,中,5.58,True,5-10万,5-8年
别克 凯越 2011款 1.6 手动 LX,0.2,0.38,0.13,0.53,True,差,12.83,True,<1万,>10年
丰田 RAV4荣放 2015款 2.0L 自动 CVT两驱都市版,4.43,4.3,3.9,4.68,True,中,10.67,True,3-5万,>10年
雪佛兰 科鲁兹三厢 2016款 1.5 手动 精英版,1.1,1.13,0.98,1.28,True,中,9.25,True,1-3万,8-10年
福特 翼搏 2013款 1.5 手动 风尚型,0.63,1.01,0.86,1.16,False,中,10.58,True,<1万,>10年
大众 朗逸三厢 2011款 1.6 自动 品雅版,0.32,0.82,0.62,1.02,False,中,14.0,True,<1万,>10年
丰田 威驰FS 2021款 1.5 自动 锋驰版,3.8,3.43,3.6,3.93,True,优,4.58,True,3-5万,3-5年
大众 途观 2013款 1.8T 自动 风尚版前驱,2.01,2.52,2.27,2.76,False,中,11.5,True,1-3万,>10年
起亚 K3 2016款 1.6 自动 GL,2.08,2.34,2.1,2.56,False,中,8.58,True,1-3万,8-10年
现代 ix35 2013款 2.0 自动 GLS智能型四驱 国IV,1.51,1.71,1.5,1.92,True,中,11.25,True,1-3万,>10年
现代 瑞纳三厢 2014款 1.4 自动 GLS智能型,1.54,0.9,0.79,1.19,False,优,10.83,True,1-3万,>10年
长安 CS35 2015款 1.6 手动 豪华型 国IV,0.72,0.69,0.56,0.96,True,优,9.67,True,<1万,8-10年
日产 轩逸 2019款 1.6 自动 经典XE舒适版,2.73,3.19,2.49,3.0,True,差,5.08,True,1-3万,5-8年
大众 速腾 2020款 1.4T 自动 280TSI舒适型 国VI,5.2,5.91,5.38,6.41,False,中,5.08,True,5-10万,5-8年
路虎 发现神行 2016款 2.0T 自动 上市限量版,6.66,7.11,6.5,7.69,True,中,6.92,True,5-10万,5-8年
丰田 卡罗拉 2008款 1.8 自动 GL-i 天窗特别版,1.2,0.88,0.57,0.97,False,差,17.08,True,1-3万,>10年
大众 高尔夫 2019款 1.4T 自动 280TSI舒适型,5.17,5.42,4.93,5.89,True,中,6.5,True,5-10万,5-8年
斯柯达 昕动 2014款 1.4T 自动 舒享版,2.39,2.32,2.09,2.54,True,中,8.42,True,1-3万,8-10年
大众 朗逸三厢 2023款 改款 1.5L 自动 星空五百万版,6.64,5.86,6.13,6.67,True,优,1.42,True,5-10万,0-3年
大众 速腾 2012款 1.6 手动 舒适型,0.78,1.43,1.08,1.42,False,差,12.92,True,<1万,>10年
雪铁龙 C4L 2014款 1.8 自动 智驱版劲享型,1.48,1.06,0.91,1.21,False,中,9.5,True,1-3万,8-10年
大众 高尔夫 2012款 1.6 自动 时尚型,1.56,2.13,1.91,2.33,False,中,11.67,True,1-3万,>10年
比亚迪 宋MAX 2019款 1.5T 自动 智联睿逸天窗型6座 国VI,3.32,3.24,3.4,3.72,False,优,5.67,True,3-5万,5-8年
本田 CR-V 2021款 1.5T 自动 240TURBO都市版前驱,10.2,10.33,9.52,11.11,True,中,3.75,True,10-20万,3-5年
本田 凌派 2013款 1.8 自动 豪华版,2.0,2.04,1.83,2.24,True,中,11.58,True,1-3万,>10年
宝马 5系 2014款 2.0T 自动 525Li领先型,6.3,5.89,5.37,6.39,True,中,10.92,True,5-10万,>10年
大众 朗逸三厢 2013款 1.4T 自动 舒适版 改款,1.82,1.56,1.37,1.75,False,中,11.75,True,1-3万,>10年
大众 途观L 2022款 2.0T 自动 330TSI 两驱舒享版,9.1,11.62,12.14,13.06,False,优,2.92,True,5-10万,0-3年
现代 伊兰特三厢 2022款 1.5L CVT自动 LUX尊贵版,5.93,5.28,4.81,5.74,False,中,2.42,True,5-10万,0-3年
日产 阳光 2011款 1.5 无级 XL 豪华版,0.25,0.61,0.33,0.73,False,差,13.33,True,<1万,>10年
三菱 劲炫ASX 2013款 2.0 自动 精英版前驱,2.16,1.88,1.65,2.11,False,中,10.17,True,1-3万,>10年
日产 逍客 2012款 2.0 手动 XL火前驱,1.31,1.72,1.51,1.93,False,中,10.92,True,1-3万,>10年
丰田 锐志 2008款 2.5 自动 S特别纪念版,2.05,2.08,1.61,1.99,False,差,15.33,True,1-3万,>10年
本田 飞度 2008款 1.5 自动 豪华版,1.01,0.95,0.75,1.15,True,中,15.42,True,1-3万,>10年
大众 途观 2012款 1.8TSI 手动 两驱进享版,0.93,1.51,1.33,1.69,False,中,12.58,True,<1万,>10年
福特 嘉年华两厢 2013款 1.5 自动 时尚型,0.7,0.86,0.55,0.95,True,差,11.58,True,<1万,>10年
本田 第十代雅阁 2022款 1.5T 无级 260TURBO 豪华版,9.55,9.84,9.06,10.59,True,中,3.67,True,5-10万,3-5年
本田 CR-V 2013款 2.4 自动 VTi豪华型四驱,3.57,3.95,3.58,4.31,False,中,11.5,True,3-5万,>10年
丰田 花冠 2011款 1.6 自动 经典型,1.7,1.29,0.97,1.29,False,差,13.08,True,1-3万,>10年
哈弗 哈弗H6 2017款 2.0T 自动 红标智尚型前驱,2.01,2.32,2.09,2.54,False,中,7.67,True,1-3万,5-8年
大众 途观 2013款 1.8TSI 手自一体 两驱豪华版,3.25,2.77,2.5,3.03,False,中,10.92,True,3-5万,>10年
本田 飞度两厢 2004款 1.5 自动,0.46,0.4,0.24,0.64,True,优,18.83,True,<1万,>10年
别克 君威 2015款 2.0 手自一体 领先时尚型,1.7,1.94,1.71,2.17,False,中,9.67,True,1-3万,8-10年
宝骏 730 2016款 1.5 手动 舒适型7座,1.2,1.03,0.75,1.05,False,差,9.33,True,1-3万,8-10年
哈弗 哈弗H6 2021款 1.5T 自动 第三代两驱Max,5.71,4.68,4.25,5.1,False,中,3.25,True,5-10万,3-5年
别克 凯越 2013款 1.5 手自一体 经典版,0.68,0.7,0.5,0.9,True,中,10.33,True,<1万,>10年
本田 CR-V 2013款 2.4 自动 Vti四驱豪华版,6.29,4.56,4.14,4.96,False,中,10.17,True,5-10万,>10年
现代 瑞纳 2014款 1.4 手动 GS 时尚型,0.6,0.93,0.73,1.13,False,中,10.0,True,<1万,8-10年
本田 雅阁 2010款 2.4 自动 百万纪念版,2.2,1.77,1.56,1.98,False,中,15.25,True,1-3万,>10年
福特 福克斯三厢 2013款 1.8 自动 经典时尚型,0.75,0.82,0.62,1.02,True,中,10.92,True,<1万,>10年
现代 名图 2014款 1.8 自动 尊贵型,1.45,1.99,1.51,1.99,False,差,10.58,True,1-3万,>10年
本田 雅阁 2016款 2.0 自动 舒适版,5.47,5.79,5.27,6.28,True,中,8.25,True,5-10万,8-10年
丰田 RAV4荣放 2015款 自动 2.0L CVT两驱风尚版,4.7,4.63,4.2,5.04,True,中,9.75,True,3-5万,8-10年
大众 高尔夫·嘉旅 2018款 1.4TSI 双离合 280TSI 豪华型,3.95,4.9,4.45,5.33,False,中,8.08,True,3-5万,8-10年
丰田 威驰FS 2017款 1.5 自动 锋驰版,3.1,3.12,3.28,3.59,False,优,6.17,True,3-5万,5-8年
丰田 花冠EX 2013款 1.6 手动 卓越版,0.6,1.46,1.1,1.44,False,差,11.92,True,<1万,>10年
丰田 卡罗拉 2008款 1.8 自动 GL-i天窗特别版,1.36,1.22,1.07,1.37,True,中,16.0,True,1-3万,>10年
雪佛兰 科鲁兹 2013款 1.6 手动 SL,0.35,0.4,0.14,0.54,True,差,12.17,True,<1万,>10年
大众 朗行 2015款 1.6 自动 舒适型,2.85,2.65,2.38,2.9,True,中,8.75,True,1-3万,8-10年
标致 408 2014款 1.8 自动 豪华版,1.27,1.29,1.14,1.44,True,中,10.83,True,1-3万,>10年
雪佛兰 迈锐宝XL 2019款 2.0T 自动 550T Redline锐智版,6.1,5.13,4.66,5.57,False,中,4.83,True,5-10万,3-5年
哈弗 哈弗H6 2015款 1.5T 自动 运动版豪华型前驱,2.02,1.32,1.16,1.48,False,中,9.33,True,1-3万,8-10年
雪佛兰 赛欧-三厢 2013款 1.4 序列变速 优逸版,0.3,0.37,0.12,0.52,True,差,11.0,True,<1万,>10年
现代 瑞纳三厢 2017款 1.4L 手动 焕新版 国VI,1.4,1.55,1.17,1.55,True,差,5.5,True,1-3万,5-8年
长城 C30 2012款 1.5 手动 精英版,0.22,0.28,0.04,0.44,True,差,12.5,True,<1万,>10年
别克 GL8 2011款 2.4 自动 LT行政型,1.44,1.94,1.71,2.17,False,中,13.58,True,1-3万,>10年
马自达 马自达CX-4 2018款 2.0 自动 蓝天探索版前驱,4.14,4.22,3.32,3.98,False,差,7.25,True,3-5万,5-8年
丰田 雷凌 2016款 1.6 自动 G精英版,2.73,2.84,2.56,3.1,True,中,9.08,True,1-3万,8-10年
比亚迪 S6 2011款 2.0 手动 尊贵型,0.42,0.4,0.24,0.64,True,优,13.25,True,<1万,>10年
雪佛兰 科沃兹 2018款 1.5 自动 320欣悦版,2.52,1.95,1.72,2.18,False,中,6.83,True,1-3万,5-8年
起亚 K5凯酷 2015款 2.0 自动 LUX,2.6,2.38,1.84,2.28,False,差,9.92,True,1-3万,8-10年
本田 艾力绅 2016款 2.4 自动 豪华版,9.4,9.89,8.07,9.42,True,差,7.08,True,5-10万,5-8年
比亚迪 海豚 2023款 420km 时尚版,6.57,5.5,5.77,6.28,False,优,1.42,True,5-10万,0-3年
大众 朗逸 2013款 1.4TSI 手动 豪华版,1.25,1.38,1.21,1.55,True,中,12.0,True,1-3万,>10年
丰田 凯美瑞 2007款 2.0 自动 200G 豪华版,0.97,0.88,0.68,1.08,True,中,17.58,True,<1万,>10年
大众 高尔夫 2015款 1.6 自动 舒适型,2.34,2.95,2.66,3.22,False,中,10.33,True,1-3万,>10年
宝马 3系 2017款 2.0T 自动 320Li时尚型,5.78,6.91,6.32,7.48,False,中,8.58,True,5-10万,8-10年
大众 宝来三厢 2021款 1.5 自动 时尚智联版,5.02,4.76,4.99,5.44,True,优,4.5,True,5-10万,3-5年
宝骏 310 2017款 1.5 自动 豪华型,1.63,1.06,0.91,1.21,False,中,8.17,True,1-3万,8-10年
丰田 卡罗拉 2017款 1.2T 自动 GL-i真皮版,3.38,3.39,3.06,3.7,True,中,8.67,True,3-5万,8-10年
起亚 K2三厢 2015款 1.4 手动 GLS,0.71,1.07,0.92,1.22,False,中,10.25,True,<1万,>10年
奥迪 Q5 2013款 2.0T 自动 40TFSI技术型,4.3,4.26,3.86,4.64,True,中,11.5,True,3-5万,>10年
雪铁龙 C3-XR 2017款 1.2T 自动 230THP先锋型,1.8,1.81,1.59,2.03,True,中,8.17,True,1-3万,8-10年
大众 高尔夫·嘉旅 2016款 1.2TSI 双离合 180TSI 进取型,3.88,3.73,3.38,4.07,True,中,9.17,True,3-5万,8-10年
奔驰 E级 2022款 2.0T 自动 E300L 时尚型 改款,29.54,26.81,24.85,28.78,False,中,3.5,True,>20万,3-5年
日产 天籁 2013款 2.0 自动 XL舒适版,4.72,3.83,3.47,4.18,False,中,8.92,True,3-5万,8-10年
大众 帕萨特 2017款 1.8T 自动 330TSI尊荣版,5.79,5.23,4.15,4.94,False,差,7.67,True,5-10万,5-8年
福特 福克斯两厢 2012款 1.6 自动 风尚型,0.46,0.72,0.52,0.92,False,中,12.92,True,<1万,>10年
大众 POLO劲情 2009款 1.6 自动 风尚版,0.72,0.89,0.69,1.09,True,中,14.5,True,<1万,>10年
哈弗 哈弗H6 2021款 1.5T 自动 第三代两驱Supreme,4.0,4.33,3.93,4.72,True,中,4.67,True,3-5万,3-5年
日产 阳光 2011款 1.5 手动 XE舒适版,0.52,0.74,0.54,0.94,False,中,12.5,True,<1万,>10年
雪佛兰 迈锐宝 2014款 2.0 自动 豪华版,1.34,1.42,1.25,1.59,True,中,10.42,True,1-3万,>10年
大众 途安 2011款 1.4T 自动 智雅版5座,1.64,1.45,1.28,1.62,False,中,12.83,True,1-3万,>10年
丰田 威驰 2014款 1.3 手动 超值版,1.2,1.27,0.96,1.26,True,差,9.92,True,1-3万,8-10年
别克 英朗三厢 2013款 1.6 自动 GT时尚型,0.87,0.77,0.57,0.97,True,中,11.42,True,<1万,>10年
丰田 卡罗拉 2011款 1.8 自动 GL-i,1.73,1.72,1.51,1.93,True,中,13.33,True,1-3万,>10年
大众 捷达 2015款 1.6 自动 质惠版时尚型,1.11,1.19,0.89,1.19,True,差,10.08,True,1-3万,>10年
江淮 瑞风S3 2016款 1.5 手动 豪华智能型,0.56,0.65,0.45,0.85,True,中,9.33,True,<1万,8-10年
本田 CR-V 2013款 2.0 自动 Exi经典型前驱,4.04,4.2,3.8,4.57,True,中,10.42,True,3-5万,>10年
标致 508 2013款 2.0 手自一体 两周年纪念天窗经典版,0.7,1.1,0.81,1.11,False,差,11.83,True,<1万,>10年
丰田 RAV4荣放 2020款 2.0L 自动 CVT两驱风尚PLUS版,9.84,8.4,7.7,9.06,False,中,5.08,True,5-10万,5-8年
雪佛兰 科鲁兹 2013款 1.6 手动 SL 天地版,0.35,0.4,0.15,0.55,True,差,12.5,True,<1万,>10年
日产 天籁 2016款 2.0 无级 XL 舒适版,4.4,4.75,4.31,5.17,True,中,7.33,True,3-5万,5-8年
斯柯达 柯迪亚克 2018款 2.0T 自动 TSI330 豪华优享版5座前驱 ,5.4,5.49,5.75,6.26,False,优,6.58,True,5-10万,5-8年
大众 宝来三厢 2015款 1.6 自动 质惠版舒适型,2.01,1.97,1.73,2.21,True,中,9.83,True,1-3万,8-10年
